,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.009058618545532226,0.0011525911326819578,0.0013043642044067382,0.00027440993380825244,1,0.01,"{'C': 1, 'gamma': 0.01}",0.925,0.925,0.825,0.9,0.8,0.925,0.85,0.8,0.85,0.925,0.8724999999999999,0.05055937104039173,24,0.9,0.9027777777777778,0.9083333333333333,0.9027777777777778,0.9111111111111111,0.8916666666666667,0.9083333333333333,0.9083333333333333,0.9027777777777778,0.8944444444444445,0.9030555555555555,0.006015668841029899
1,0.011929607391357422,0.0010444400068706785,0.0015285015106201172,0.00023149857184596526,1,0.05,"{'C': 1, 'gamma': 0.05}",0.925,0.875,0.875,0.95,0.85,0.95,0.875,0.75,0.8,0.925,0.8775000000000001,0.06169481339626533,13,0.9472222222222222,0.9416666666666667,0.9472222222222222,0.9444444444444444,0.9527777777777777,0.9416666666666667,0.95,0.95,0.9416666666666667,0.9444444444444444,0.946111111111111,0.003767961101736247
2,0.015021657943725586,0.0008401419871592283,0.0017556428909301757,0.0001754476965499235,1,0.1,"{'C': 1, 'gamma': 0.1}",0.9,0.9,0.9,0.925,0.85,0.925,0.85,0.75,0.8,0.925,0.8724999999999999,0.0564025708633924,24,0.9722222222222222,0.9777777777777777,0.9777777777777777,0.9861111111111112,0.9833333333333333,0.9805555555555555,0.9805555555555555,0.975,0.9805555555555555,0.9777777777777777,0.9791666666666666,0.0037781862524265187
3,0.016196203231811524,0.000872639481054426,0.0018276691436767579,6.788039478736027e-05,1,0.5,"{'C': 1, 'gamma': 0.5}",0.6,0.55,0.625,0.6,0.6,0.6,0.575,0.6,0.625,0.625,0.6,0.022360679774997894,48,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9974999999999999,0.0014958791130929125
4,0.014582586288452149,0.000782000391847849,0.0016738414764404298,0.00020430514153898022,1,0.1,"{'C': 1, 'gamma': 0.1}",0.9,0.9,0.9,0.925,0.85,0.925,0.85,0.75,0.8,0.925,0.8724999999999999,0.0564025708633924,24,0.9722222222222222,0.9777777777777777,0.9777777777777777,0.9861111111111112,0.9833333333333333,0.9805555555555555,0.9805555555555555,0.975,0.9805555555555555,0.9777777777777777,0.9791666666666666,0.0037781862524265187
5,0.014953184127807616,0.0002540553027557167,0.0017722845077514648,0.000279563677526218,1,0.25,"{'C': 1, 'gamma': 0.25}",0.9,0.9,0.925,0.85,0.875,0.825,0.85,0.75,0.85,0.85,0.8574999999999999,0.04616546328154849,35,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9916666666666667,1.0,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9944444444444442,0.002777777777777768
6,0.015050101280212402,9.090022488152281e-05,0.001703166961669922,4.254501885303656e-05,1,0.5,"{'C': 1, 'gamma': 0.5}",0.6,0.55,0.625,0.6,0.6,0.6,0.575,0.6,0.625,0.625,0.6,0.022360679774997894,48,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9974999999999999,0.0014958791130929125
7,0.017175912857055664,0.0014529780936674396,0.001821756362915039,0.0003147526737092116,1,1,"{'C': 1, 'gamma': 1}",0.525,0.525,0.55,0.55,0.525,0.525,0.55,0.575,0.55,0.55,0.5425,0.01600781059358211,56,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
8,0.00741124153137207,0.0004573162693896638,0.0009044647216796875,3.501105194151153e-05,5,0.01,"{'C': 5, 'gamma': 0.01}",0.925,0.925,0.85,0.925,0.85,0.95,0.875,0.8,0.9,0.875,0.8875,0.04366062299143245,5,0.9305555555555556,0.925,0.9305555555555556,0.9305555555555556,0.9388888888888889,0.9194444444444444,0.9277777777777778,0.9361111111111111,0.9305555555555556,0.925,0.9294444444444446,0.005299662230094144
9,0.012599587440490723,0.00038589141513173907,0.0011798858642578125,3.580707351074448e-05,5,0.05,"{'C': 5, 'gamma': 0.05}",0.95,0.9,0.925,0.925,0.9,0.925,0.85,0.8,0.875,0.9,0.8950000000000001,0.04153311931459037,1,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9972222222222222,0.9944444444444445,0.9933333333333334,0.002545875386086569
10,0.014603066444396972,0.0008954229923983931,0.0014942407608032227,0.0001089339706081116,5,0.1,"{'C': 5, 'gamma': 0.1}",0.975,0.9,0.925,0.9,0.875,0.925,0.85,0.75,0.8,0.9,0.8800000000000001,0.062048368229954284,11,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9944444444444445,0.9944444444444445,0.9972222222222222,1.0,0.9972222222222222,0.9966666666666667,0.002078698548207738
11,0.016010022163391112,0.00105090311274557,0.001728987693786621,6.918227285899486e-05,5,0.5,"{'C': 5, 'gamma': 0.5}",0.6,0.575,0.7,0.625,0.6,0.65,0.6,0.65,0.65,0.65,0.6300000000000001,0.035,36,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
12,0.014803624153137207,0.0011219476226246568,0.0014676094055175782,9.797171493370574e-05,5,0.1,"{'C': 5, 'gamma': 0.1}",0.975,0.9,0.925,0.9,0.875,0.925,0.85,0.75,0.8,0.9,0.8800000000000001,0.062048368229954284,11,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9944444444444445,0.9944444444444445,0.9972222222222222,1.0,0.9972222222222222,0.9966666666666667,0.002078698548207738
13,0.01677405834197998,0.001431601717857399,0.001943492889404297,0.00041671355807211584,5,0.25,"{'C': 5, 'gamma': 0.25}",0.925,0.9,0.925,0.875,0.9,0.85,0.875,0.75,0.775,0.85,0.8625,0.056180512635610594,29,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
14,0.01604444980621338,0.0005759391315415452,0.0017552852630615234,0.00010980705637146696,5,0.5,"{'C': 5, 'gamma': 0.5}",0.6,0.575,0.7,0.625,0.6,0.65,0.6,0.65,0.65,0.65,0.6300000000000001,0.035,36,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
15,0.01873490810394287,0.0012811485937984227,0.0019841909408569334,0.00048526199777100234,5,1,"{'C': 5, 'gamma': 1}",0.55,0.525,0.575,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.011180339887498935,50,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,1.0,1.0,0.9972222222222222,0.9980555555555556,0.0012729376930432845
16,0.008945465087890625,0.0012476613819756613,0.0010854959487915038,0.00017309282272391473,7,0.01,"{'C': 7, 'gamma': 0.01}",0.925,0.925,0.825,0.925,0.85,0.95,0.875,0.8,0.9,0.875,0.885,0.04636809247747852,10,0.9361111111111111,0.925,0.9305555555555556,0.9416666666666667,0.9388888888888889,0.9222222222222223,0.9277777777777778,0.9416666666666667,0.9361111111111111,0.9305555555555556,0.9330555555555555,0.006508541396588856
17,0.015438365936279296,0.0012916679010039648,0.0015406131744384766,0.0004458877953802656,7,0.05,"{'C': 7, 'gamma': 0.05}",0.95,0.9,0.925,0.9,0.9,0.925,0.85,0.8,0.875,0.9,0.8925000000000001,0.040388736053508775,2,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9941666666666666,0.002307395517477235
18,0.014915013313293457,0.0007391316148404133,0.0015987873077392579,0.00013773116719886707,7,0.1,"{'C': 7, 'gamma': 0.1}",0.975,0.9,0.925,0.9,0.875,0.925,0.85,0.75,0.775,0.9,0.8775000000000001,0.06562202374203344,13,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9944444444444445,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222221,0.0017568209223157599
19,0.01995820999145508,0.0036594145838739194,0.0025040626525878905,0.0009236057070012132,7,0.5,"{'C': 7, 'gamma': 0.5}",0.6,0.575,0.7,0.625,0.6,0.65,0.6,0.65,0.65,0.65,0.6300000000000001,0.035,36,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
20,0.016698598861694336,0.000926961544311796,0.0018478870391845704,0.0002998452034768319,7,0.1,"{'C': 7, 'gamma': 0.1}",0.975,0.9,0.925,0.9,0.875,0.925,0.85,0.75,0.775,0.9,0.8775000000000001,0.06562202374203344,13,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9944444444444445,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222221,0.0017568209223157599
21,0.018932533264160157,0.000856990711053981,0.002192187309265137,0.0008292913272382677,7,0.25,"{'C': 7, 'gamma': 0.25}",0.925,0.9,0.925,0.875,0.9,0.85,0.875,0.75,0.775,0.85,0.8625,0.056180512635610594,29,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
22,0.019121670722961427,0.0008933858828376881,0.0022469758987426758,0.0006272291877003398,7,0.5,"{'C': 7, 'gamma': 0.5}",0.6,0.575,0.7,0.625,0.6,0.65,0.6,0.65,0.65,0.65,0.6300000000000001,0.035,36,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
23,0.023787426948547363,0.0049450200052866345,0.0024196147918701173,0.000760154567743759,7,1,"{'C': 7, 'gamma': 1}",0.55,0.525,0.575,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.011180339887498935,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,0.009285473823547363,0.001540079539367593,0.001091933250427246,0.00014478414372777823,10,0.01,"{'C': 10, 'gamma': 0.01}",0.9,0.9,0.8,0.925,0.85,0.925,0.85,0.8,0.875,0.85,0.8675,0.04337337893224368,27,0.9416666666666667,0.9333333333333333,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.9388888888888889,0.9361111111111111,0.9472222222222222,0.9472222222222222,0.9388888888888889,0.9408333333333333,0.0041294635409217925
25,0.015473079681396485,0.0008591008673025651,0.0016343116760253907,0.0005354663754441187,10,0.05,"{'C': 10, 'gamma': 0.05}",0.95,0.9,0.925,0.9,0.9,0.925,0.85,0.8,0.85,0.875,0.8875,0.04220485754033533,5,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9916666666666667,1.0,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9947222222222223,0.002900085141364031
26,0.017165589332580566,0.0021243324986307843,0.0017387866973876953,0.00027611045554148787,10,0.1,"{'C': 10, 'gamma': 0.1}",0.975,0.9,0.925,0.925,0.875,0.95,0.875,0.75,0.775,0.9,0.8850000000000001,0.06819090848492927,7,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
27,0.016116642951965333,0.0010558581541172125,0.0018075942993164063,0.00019310789900250908,10,0.5,"{'C': 10, 'gamma': 0.5}",0.6,0.575,0.675,0.625,0.6,0.65,0.6,0.6,0.65,0.65,0.6225,0.030516389039334287,40,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,1.0,1.0,0.9972222222222222,0.9980555555555556,0.0012729376930432845
28,0.015597200393676758,0.0017837073944614425,0.0016338825225830078,0.00016487326542402486,10,0.1,"{'C': 10, 'gamma': 0.1}",0.975,0.9,0.925,0.925,0.875,0.95,0.875,0.75,0.775,0.9,0.8850000000000001,0.06819090848492927,7,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9977777777777778,0.0011111111111111072
