,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.011864972114562989,0.002570369002369435,0.0007410049438476562,0.00011799075090437626,1,0.01,"{'C': 1, 'gamma': 0.01}",0.875,0.925,0.825,0.85,0.775,0.925,0.875,0.9,0.875,0.925,0.875,0.04609772228646445,1,0.9277777777777778,0.9194444444444444,0.925,0.9277777777777778,0.9388888888888889,0.9194444444444444,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9255555555555555,0.005386310952684816
1,0.013711094856262207,0.0032943115858632714,0.0008997678756713867,0.0001692287096927528,1,0.05,"{'C': 1, 'gamma': 0.05}",0.875,0.925,0.825,0.85,0.775,0.925,0.875,0.9,0.875,0.925,0.875,0.04609772228646445,1,0.9277777777777778,0.9194444444444444,0.925,0.9277777777777778,0.9388888888888889,0.9194444444444444,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9255555555555555,0.005386310952684816
2,0.011940717697143555,0.001807742830605117,0.0008577823638916016,9.757455047670042e-05,1,0.1,"{'C': 1, 'gamma': 0.1}",0.875,0.925,0.825,0.85,0.775,0.925,0.875,0.9,0.875,0.925,0.875,0.04609772228646445,1,0.9277777777777778,0.9194444444444444,0.925,0.9277777777777778,0.9388888888888889,0.9194444444444444,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9255555555555555,0.005386310952684816
3,0.012096476554870606,0.0016890246159016523,0.0008266925811767578,3.710978865196861e-05,1,0.5,"{'C': 1, 'gamma': 0.5}",0.875,0.925,0.825,0.85,0.775,0.925,0.875,0.9,0.875,0.925,0.875,0.04609772228646445,1,0.9277777777777778,0.9194444444444444,0.925,0.9277777777777778,0.9388888888888889,0.9194444444444444,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9255555555555555,0.005386310952684816
4,0.01215672492980957,0.0022076587109707575,0.0007611274719238281,0.00010776483907049121,1,0.1,"{'C': 1, 'gamma': 0.1}",0.875,0.925,0.825,0.85,0.775,0.925,0.875,0.9,0.875,0.925,0.875,0.04609772228646445,1,0.9277777777777778,0.9194444444444444,0.925,0.9277777777777778,0.9388888888888889,0.9194444444444444,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9255555555555555,0.005386310952684816
5,0.011282134056091308,0.0018379913382945946,0.0006937026977539062,6.629367392866477e-05,1,0.25,"{'C': 1, 'gamma': 0.25}",0.875,0.925,0.825,0.85,0.775,0.925,0.875,0.9,0.875,0.925,0.875,0.04609772228646445,1,0.9277777777777778,0.9194444444444444,0.925,0.9277777777777778,0.9388888888888889,0.9194444444444444,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9255555555555555,0.005386310952684816
6,0.011410140991210937,0.0015444062483295318,0.0006799697875976562,5.0884914980067186e-05,1,0.5,"{'C': 1, 'gamma': 0.5}",0.875,0.925,0.825,0.85,0.775,0.925,0.875,0.9,0.875,0.925,0.875,0.04609772228646445,1,0.9277777777777778,0.9194444444444444,0.925,0.9277777777777778,0.9388888888888889,0.9194444444444444,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9255555555555555,0.005386310952684816
7,0.01202237606048584,0.0024342710339557137,0.0007017135620117187,0.00011417217289991748,1,1,"{'C': 1, 'gamma': 1}",0.875,0.925,0.825,0.85,0.775,0.925,0.875,0.9,0.875,0.925,0.875,0.04609772228646445,1,0.9277777777777778,0.9194444444444444,0.925,0.9277777777777778,0.9388888888888889,0.9194444444444444,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9255555555555555,0.005386310952684816
8,0.039236593246459964,0.01244270688135636,0.000667405128479004,2.8688611505610163e-05,5,0.01,"{'C': 5, 'gamma': 0.01}",0.875,0.925,0.825,0.825,0.775,0.9,0.9,0.85,0.875,0.925,0.8675,0.04616546328154849,25,0.9194444444444444,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9138888888888889,0.9222222222222223,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9233333333333332,0.0068267809596914125
9,0.03840382099151611,0.012236528422090113,0.0006557464599609375,2.080403963039262e-05,5,0.05,"{'C': 5, 'gamma': 0.05}",0.875,0.925,0.825,0.825,0.775,0.9,0.9,0.85,0.875,0.925,0.8675,0.04616546328154849,25,0.9194444444444444,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9138888888888889,0.9222222222222223,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9233333333333332,0.0068267809596914125
10,0.039031481742858885,0.012271241317247647,0.0006711483001708984,3.924575489721728e-05,5,0.1,"{'C': 5, 'gamma': 0.1}",0.875,0.925,0.825,0.825,0.775,0.9,0.9,0.85,0.875,0.925,0.8675,0.04616546328154849,25,0.9194444444444444,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9138888888888889,0.9222222222222223,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9233333333333332,0.0068267809596914125
11,0.04142117500305176,0.01764414085839606,0.0006677150726318359,2.921152067776787e-05,5,0.5,"{'C': 5, 'gamma': 0.5}",0.875,0.925,0.825,0.825,0.775,0.9,0.9,0.85,0.875,0.925,0.8675,0.04616546328154849,25,0.9194444444444444,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9138888888888889,0.9222222222222223,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9233333333333332,0.0068267809596914125
12,0.03980324268341064,0.013113029813525643,0.0006797313690185547,2.945796381844976e-05,5,0.1,"{'C': 5, 'gamma': 0.1}",0.875,0.925,0.825,0.825,0.775,0.9,0.9,0.85,0.875,0.925,0.8675,0.04616546328154849,25,0.9194444444444444,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9138888888888889,0.9222222222222223,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9233333333333332,0.0068267809596914125
13,0.03921513557434082,0.012378898405824538,0.0006662368774414063,4.074659313149058e-05,5,0.25,"{'C': 5, 'gamma': 0.25}",0.875,0.925,0.825,0.825,0.775,0.9,0.9,0.85,0.875,0.925,0.8675,0.04616546328154849,25,0.9194444444444444,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9138888888888889,0.9222222222222223,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9233333333333332,0.0068267809596914125
14,0.04082090854644775,0.013602218389360831,0.0007251501083374023,0.00017892215156212397,5,0.5,"{'C': 5, 'gamma': 0.5}",0.875,0.925,0.825,0.825,0.775,0.9,0.9,0.85,0.875,0.925,0.8675,0.04616546328154849,25,0.9194444444444444,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9138888888888889,0.9222222222222223,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9233333333333332,0.0068267809596914125
15,0.03945126533508301,0.014978323363792442,0.0007349014282226563,6.486704892897563e-05,5,1,"{'C': 5, 'gamma': 1}",0.875,0.925,0.825,0.825,0.775,0.9,0.9,0.85,0.875,0.925,0.8675,0.04616546328154849,25,0.9194444444444444,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9138888888888889,0.9222222222222223,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9233333333333332,0.0068267809596914125
16,0.07523910999298096,0.057662864474606904,0.0007207393646240234,0.00010073651918050502,7,0.01,"{'C': 7, 'gamma': 0.01}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9241666666666667,0.006340395672507421
17,0.07478983402252197,0.05612688693329404,0.0007009506225585938,6.71112515256085e-05,7,0.05,"{'C': 7, 'gamma': 0.05}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9241666666666667,0.006340395672507421
18,0.0744253158569336,0.05493070277839003,0.0007378339767456054,7.574637805543833e-05,7,0.1,"{'C': 7, 'gamma': 0.1}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9241666666666667,0.006340395672507421
19,0.07508354187011719,0.056523767266942984,0.0007475614547729492,5.9191151690028244e-05,7,0.5,"{'C': 7, 'gamma': 0.5}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9241666666666667,0.006340395672507421
20,0.0740447998046875,0.05813269349489366,0.0008276462554931641,0.0001430252846544693,7,0.1,"{'C': 7, 'gamma': 0.1}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9241666666666667,0.006340395672507421
21,0.07461907863616943,0.05767295213406716,0.0006997346878051758,3.7479135218740954e-05,7,0.25,"{'C': 7, 'gamma': 0.25}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9241666666666667,0.006340395672507421
22,0.07305374145507812,0.05763781889565086,0.0006964206695556641,5.311664165232133e-05,7,0.5,"{'C': 7, 'gamma': 0.5}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9241666666666667,0.006340395672507421
23,0.07476298809051514,0.05950528605194393,0.0007571935653686524,6.193281815898199e-05,7,1,"{'C': 7, 'gamma': 1}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9138888888888889,0.9305555555555556,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9194444444444444,0.9277777777777778,0.9241666666666667,0.006340395672507421
24,0.08515992164611816,0.049278059172176036,0.0007205486297607421,4.956558838609529e-05,10,0.01,"{'C': 10, 'gamma': 0.01}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9166666666666666,0.925,0.9277777777777778,0.9333333333333333,0.9166666666666666,0.9222222222222223,0.9222222222222223,0.9166666666666666,0.9277777777777778,0.9230555555555554,0.0052777777777778
25,0.087005877494812,0.04859720466824344,0.0007174015045166016,3.947926593937683e-05,10,0.05,"{'C': 10, 'gamma': 0.05}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9166666666666666,0.925,0.9277777777777778,0.9333333333333333,0.9166666666666666,0.9222222222222223,0.9222222222222223,0.9166666666666666,0.9277777777777778,0.9230555555555554,0.0052777777777778
26,0.08701345920562745,0.04594333307075981,0.000775909423828125,3.9541446410549625e-05,10,0.1,"{'C': 10, 'gamma': 0.1}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9166666666666666,0.925,0.9277777777777778,0.9333333333333333,0.9166666666666666,0.9222222222222223,0.9222222222222223,0.9166666666666666,0.9277777777777778,0.9230555555555554,0.0052777777777778
27,0.08751373291015625,0.047345450810816835,0.0007289648056030273,3.317091395147007e-05,10,0.5,"{'C': 10, 'gamma': 0.5}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9166666666666666,0.925,0.9277777777777778,0.9333333333333333,0.9166666666666666,0.9222222222222223,0.9222222222222223,0.9166666666666666,0.9277777777777778,0.9230555555555554,0.0052777777777778
28,0.08797814846038818,0.04862316282095923,0.0007807731628417969,7.906528068266937e-05,10,0.1,"{'C': 10, 'gamma': 0.1}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9166666666666666,0.925,0.9277777777777778,0.9333333333333333,0.9166666666666666,0.9222222222222223,0.9222222222222223,0.9166666666666666,0.9277777777777778,0.9230555555555554,0.0052777777777778
29,0.08690640926361085,0.048763836391935496,0.0006971597671508789,3.920683891141238e-05,10,0.25,"{'C': 10, 'gamma': 0.25}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9166666666666666,0.925,0.9277777777777778,0.9333333333333333,0.9166666666666666,0.9222222222222223,0.9222222222222223,0.9166666666666666,0.9277777777777778,0.9230555555555554,0.0052777777777778
30,0.08482961654663086,0.0455283188688839,0.0007085561752319336,5.6970412572269214e-05,10,0.5,"{'C': 10, 'gamma': 0.5}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9166666666666666,0.925,0.9277777777777778,0.9333333333333333,0.9166666666666666,0.9222222222222223,0.9222222222222223,0.9166666666666666,0.9277777777777778,0.9230555555555554,0.0052777777777778
31,0.08985004425048829,0.047652181666564944,0.0007322311401367187,7.685623980643413e-05,10,1,"{'C': 10, 'gamma': 1}",0.875,0.925,0.85,0.825,0.775,0.9,0.9,0.85,0.875,0.9,0.8674999999999999,0.041907636535600534,33,0.9222222222222223,0.9166666666666666,0.925,0.9277777777777778,0.9333333333333333,0.9166666666666666,0.9222222222222223,0.9222222222222223,0.9166666666666666,0.9277777777777778,0.9230555555555554,0.0052777777777778
32,0.13151900768280028,0.0643248227420412,0.0007155656814575196,3.77571106867559e-05,15,0.01,"{'C': 15, 'gamma': 0.01}",0.875,0.925,0.85,0.825,0.775,0.925,0.9,0.85,0.9,0.9,0.8724999999999999,0.04534589286804266,9,0.9222222222222223,0.9138888888888889,0.9277777777777778,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9241666666666667,0.00596414182043998
33,0.13380715847015381,0.06997119366264802,0.0007595300674438476,0.0001049763285063406,15,0.05,"{'C': 15, 'gamma': 0.05}",0.875,0.925,0.85,0.825,0.775,0.925,0.9,0.85,0.9,0.9,0.8724999999999999,0.04534589286804266,9,0.9222222222222223,0.9138888888888889,0.9277777777777778,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9241666666666667,0.00596414182043998
34,0.13448870182037354,0.06545737957030591,0.0007785558700561523,0.00013880017308819798,15,0.1,"{'C': 15, 'gamma': 0.1}",0.875,0.925,0.85,0.825,0.775,0.925,0.9,0.85,0.9,0.9,0.8724999999999999,0.04534589286804266,9,0.9222222222222223,0.9138888888888889,0.9277777777777778,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9241666666666667,0.00596414182043998
35,0.130859899520874,0.06569406976958664,0.0007412195205688477,5.767861863945206e-05,15,0.5,"{'C': 15, 'gamma': 0.5}",0.875,0.925,0.85,0.825,0.775,0.925,0.9,0.85,0.9,0.9,0.8724999999999999,0.04534589286804266,9,0.9222222222222223,0.9138888888888889,0.9277777777777778,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9241666666666667,0.00596414182043998
36,0.13594393730163573,0.06778977790932317,0.00078277587890625,8.269927756589064e-05,15,0.1,"{'C': 15, 'gamma': 0.1}",0.875,0.925,0.85,0.825,0.775,0.925,0.9,0.85,0.9,0.9,0.8724999999999999,0.04534589286804266,9,0.9222222222222223,0.9138888888888889,0.9277777777777778,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9241666666666667,0.00596414182043998
37,0.13389947414398193,0.07046556942078215,0.0007079601287841797,3.6479476202425915e-05,15,0.25,"{'C': 15, 'gamma': 0.25}",0.875,0.925,0.85,0.825,0.775,0.925,0.9,0.85,0.9,0.9,0.8724999999999999,0.04534589286804266,9,0.9222222222222223,0.9138888888888889,0.9277777777777778,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9241666666666667,0.00596414182043998
38,0.1328584909439087,0.06717208961630095,0.0008042097091674804,0.00016420233725483174,15,0.5,"{'C': 15, 'gamma': 0.5}",0.875,0.925,0.85,0.825,0.775,0.925,0.9,0.85,0.9,0.9,0.8724999999999999,0.04534589286804266,9,0.9222222222222223,0.9138888888888889,0.9277777777777778,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9241666666666667,0.00596414182043998
39,0.13112635612487794,0.06709032773814266,0.0007206916809082032,3.190193828329126e-05,15,1,"{'C': 15, 'gamma': 1}",0.875,0.925,0.85,0.825,0.775,0.925,0.9,0.85,0.9,0.9,0.8724999999999999,0.04534589286804266,9,0.9222222222222223,0.9138888888888889,0.9277777777777778,0.9277777777777778,0.9361111111111111,0.9166666666666666,0.925,0.9222222222222223,0.9222222222222223,0.9277777777777778,0.9241666666666667,0.00596414182043998
